date,study_day,ambient_temp_c,heat_index_c,heat_wave,heat_exposure_level,synthetic_data
2026-06-01,1,34.05,35.75,False,high,True
2026-06-02,2,34.5,37.32,False,high,True
2026-06-03,3,36.2,39.7,False,high,True
2026-06-04,4,33.49,35.48,False,high,True
2026-06-05,5,36.05,38.41,False,high,True
2026-06-06,6,35.74,37.94,False,high,True
2026-06-07,7,34.72,35.66,False,high,True
2026-06-08,8,34.49,35.98,False,high,True
2026-06-09,9,35.27,38.12,False,high,True
2026-06-10,10,34.6,35.69,False,high,True
2026-06-11,11,35.66,38.54,False,high,True
2026-06-12,12,36.07,37.63,False,high,True
2026-06-13,13,40.85,44.34,True,extreme,True
2026-06-14,14,35.36,37.91,False,high,True
2026-06-15,15,35.84,37.99,False,high,True
2026-06-16,16,43.03,44.72,True,extreme,True
2026-06-17,17,35.11,36.96,False,high,True
2026-06-18,18,33.0,34.82,False,moderate,True
2026-06-19,19,32.91,36.44,False,high,True
2026-06-20,20,35.84,39.26,False,high,True
2026-06-21,21,35.43,37.81,False,high,True
2026-06-22,22,36.65,38.53,False,high,True
2026-06-23,23,35.0,37.46,False,high,True
2026-06-24,24,35.24,37.35,False,high,True
2026-06-25,25,36.53,38.69,False,high,True
2026-06-26,26,34.86,37.48,False,high,True
2026-06-27,27,35.94,36.63,False,high,True
2026-06-28,28,34.75,36.03,False,high,True
2026-06-29,29,34.21,34.72,False,moderate,True
2026-06-30,30,33.97,35.55,False,high,True
2026-07-01,31,36.89,39.0,False,high,True
2026-07-02,32,35.67,38.71,False,high,True
2026-07-03,33,42.96,44.16,True,extreme,True
2026-07-04,34,35.81,38.58,False,high,True
2026-07-05,35,36.5,38.4,False,high,True
2026-07-06,36,36.35,39.47,False,high,True
2026-07-07,37,35.87,37.09,False,high,True
2026-07-08,38,42.95,44.19,True,extreme,True
2026-07-09,39,36.28,38.1,False,high,True
2026-07-10,40,35.91,38.7,False,high,True
2026-07-11,41,36.25,36.89,False,high,True
2026-07-12,42,35.73,38.67,False,high,True
2026-07-13,43,43.62,45.91,True,extreme,True
2026-07-14,44,42.74,44.83,True,extreme,True
2026-07-15,45,36.13,38.04,False,high,True
2026-07-16,46,36.2,38.76,False,high,True
2026-07-17,47,45.05,47.4,True,extreme,True
2026-07-18,48,37.47,40.82,False,extreme,True
2026-07-19,49,33.74,36.38,False,high,True
2026-07-20,50,35.06,37.71,False,high,True
2026-07-21,51,44.95,47.77,True,extreme,True
2026-07-22,52,36.88,39.11,False,high,True
2026-07-23,53,43.37,44.01,True,extreme,True
2026-07-24,54,43.49,45.75,True,extreme,True
2026-07-25,55,37.97,40.84,False,extreme,True
2026-07-26,56,35.27,38.27,False,high,True
2026-07-27,57,34.61,37.47,False,high,True
2026-07-28,58,35.78,37.2,False,high,True
2026-07-29,59,34.86,37.65,False,high,True
2026-07-30,60,35.93,38.94,False,high,True
2026-07-31,61,35.37,36.81,False,high,True
2026-08-01,62,35.62,38.68,False,high,True
2026-08-02,63,35.69,38.9,False,high,True
2026-08-03,64,44.76,45.92,True,extreme,True
2026-08-04,65,34.77,36.36,False,high,True
2026-08-05,66,43.69,46.98,True,extreme,True
2026-08-06,67,36.47,39.64,False,high,True
2026-08-07,68,35.66,39.4,False,high,True
2026-08-08,69,33.56,37.05,False,high,True
2026-08-09,70,35.93,37.65,False,high,True
2026-08-10,71,34.91,37.5,False,high,True
2026-08-11,72,36.2,38.39,False,high,True
2026-08-12,73,33.96,36.25,False,high,True
2026-08-13,74,36.13,38.18,False,high,True
2026-08-14,75,33.8,36.13,False,high,True
2026-08-15,76,34.85,37.56,False,high,True
2026-08-16,77,35.72,38.64,False,high,True
2026-08-17,78,35.18,36.63,False,high,True
2026-08-18,79,35.76,38.34,False,high,True
2026-08-19,80,33.67,36.88,False,high,True
2026-08-20,81,34.51,37.28,False,high,True
2026-08-21,82,34.23,35.92,False,high,True
2026-08-22,83,35.18,38.66,False,high,True
2026-08-23,84,34.92,37.08,False,high,True
